-10000000,NOT YET IMPLEMENTED
-10000001,CHECKSTATE IS FAIL [ ... ]
-10000002,검색조건의 상태값은 반드시 1개 이상 지정하여야 합니다.
-10000003,검색할 수 있는 지사가 아닙니다.
-10000004,세션 정보가 존재하지 않습니다.
-10000005,Role 분류가 입력되지 않았습니다.
-10000006,아이디가 입력되지 않았습니다.
-10000007,비밀번호 형식이 올바르지 않습니다.
-10000008,해당 아이디 정보가 존재하지 않습니다.
-10000009,비밀번호가 일치하지 않습니다.
-10000010,인증키 정보가 존재하지 않습니다.
-10000011,해당 사업자의 연동회원 정보가 존재하지 않습니다.
-10000012,파트너아이디와 사업자번호로 사용자를 식별할 수 없습니다.
-10000013,기존 비밀번호와 일치하지 않습니다.
-10000014,해당 사업자번호의 회원가입 정보가 존재하지 않습니다.
-10000015,확인할 사업자번호가 입력되지 않았습니다.
-10000016,이메일 구성중 오류가 발생하였습니다.
-10000017,관리자 승인을 대기중입니다.
-10000018,관리자에 의해 사용이 중지되었습니다.
-10000019,탈퇴한 사용자입니다.
-10000020,삭제된 사용자입니다.
-10000021, 사용이 중지된 아이디입니다.
-10000022,비밀번호를 재설정 하시기 바랍니다.
-10000023,토큰 암호화를 실패 하였습니다.
-10000024,비밀번호 암호화를 실패 하였습니다.
-10000025,비밀번호가 초기화 되었습니다. 
-10000026,비밀번호가 설정되지 않았습니다.
-10000027,비밀번호 확인중 오류가 발생하였습니다.
-10000028,비밀번호 변경이 실패하였습니다. (해쉬값 생성 오류)
-10000029,접근 IP에 대한 정보가 존재하지 않습니다.
-10000030,Fail To Retry Lock
-10000031,중복처리 방지를 위한 잠금이 실패하였습니다. 잠시후 재시도 하시기 바랍니다.
,　
-10000032,토큰 생성을 실패하였습니다.
-10000033,토큰 해석을 실패하였습니다.
-10000034,인증정보가 입력되지 않았습니다.
-10000035,첨부파일 처리중 오류가 발생하였습니다.
-10000036,회원코드가 존재하지 않습니다.
-10000037,확인할 회원코드가 입력되지 않았습니다.
-10000038,인증키와 사용자아이디로 사용자를 식별할 수 없습니다.
-10000039,해당 사업자의 사용자가 아닙니다.
-10000040,확인할 파트너아이디가 입력되지 않았습니다.
-10000041,아이디의 최대길이는 20자입니다.
-10000042,"아이디는 4~20자의 영문 대소문자, 숫자와 특수문자(-,_)만 사용 가능합니다."
　,　
-10001000,해당 사업자번호는 가입된 회원입니다.
-10001001,가입정보가 입력되지 않았습니다.
-10001002,비밀번호가 입력되지 않았습니다.
-10001003,해당 아이디는 사용중입니다.
-10001004,사업자번호가 입력되지 않았습니다.
-10001005,대표자명이 입력되지 않았습니다.
-10001006,상호가 입력되지 않았습니다.
-10001007,사업자 주소가 입력되지 않았습니다.
-10001008,업태가 입력되지 않았습니다.
-10001009,종목이 입력되지 않았습니다.
-10001010, 담당자 정보가 입력되지 않았습니다.
-10001011,담당자 이메일이 입력되지 않았습니다.
-10001012,담당자 전화번호가 입력되지 않았습니다.
-10001013,담당자명이 입력되지 않았습니다.
-10001014,해당 사업자의 담당자가 존재하지 않습니다.
-10001015,관리자를 변경할 권한이 없습니다.
-10001016,"회원사의 담당자 아이디가 아니거나, 미등록 아이디입니다."
-10001017,담당자 상태를 변경할 권한이 없습니다.
-10001018,담당자코드가 입력되지 않았습니다.
-10001019,담당자 정보가 존재하지 않습니다.
-10001020,회원코드가 입력되지 않았습니다.
-10001021,회원코드 정보가 존재하지 않습니다.
-10001022,"등록된 아이디가 아니거나, 탈퇴한 아이디입니다."
-10001023,동록된 공인인증서는 관리자만 삭제할 수 있습니다.
-10001024,해당 회원에 대한 정보가 존재하지 않습니다.
-10001025,수정할 담당자 정보가 입력되지 않았습니다.
-10001026,수정할 회원사의 담당자가 아닙니다.
-10001027,회원정보 수정이 제한되어 있습니다.
-10001028,담당자명이 입력되지 않았습니다.
-10001029,이메일이 입력되지 않았습니다.
-10001030,비밀번호 재설정 정보가 일치하지 않습니다.
-10001031,등록된 인감이 없습니다.
-10001032,등록된 사업자등록증이 없습니다.
-10001033,등록된 통장사본이 없습니다.
-10001034,사업자번호가 입력되지 않았습니다.
-10001035,보안토큰이 입력되지 않았습니다.
-10001036,보안토큰 확인을 실패하였습니다.
-10001037,보안토큰 타겟이 입력되지 않았습니다.
-10001038,채널 아이디가 입력되지 않았습니다.
-10001039,토큰발행을 위한 고유번호 확인을 실패하였습니다.
-10001040,보안토큰 발행중 오류가 발생하였습니다.
-10001041,만료된 보안토큰입니다.
-10001042,정상적인 보안토큰이 아닙니다.
-10001043,아이디가 입력되지 않았습니다.
-10001044,해당 사용자는 구 팝빌 회원이 아닙니다.
-10001045,우편번호의 길이는 10자리를 넘을 수 없습니다.
-10001046,사업자번호의 형식이 맞지 않습니다.
-10001047,회원가입 세션이 준비되지 않았습니다.
-10001048,비밀번호 재설정 메일 전송은 관리자만 가능합니다.
-10001049,비밀번호 재설정 메일 전송을 할 담당자 정보가 존재하지 않습니다.
-10001050,잔여포인트 알림 한도가 입력되지 않았습니다.
-10001051,임시저장 알림 일자가 입력되지 않았습니다.
-10001052,발행대기 알림일자가 입력되지 않았습니다.
-10001053,알림문자를 수신할 번호가 설정되어 있지 않습니다.
-10001054,업태의 길이는 100자를 넘을 수 없습니다.
-10001055,종목의 길이는 100자를 넘을 수 없습니다.
-10001056,대표자성명의 길이는 100자를 넘을 수 없습니다.
-10001057,상호의 길이는 200자를 넘을 수 없습니다.
-10001058,주소의 길이는 300자를 넘을 수 없습니다.
-10001059,유효한 사업자번호가 아닙니다.
-10001060,부서사용자 아이디가 입력되지 않았습니다.
-10001061,부서사용자 비밀번호가 입력되지 않았습니다.
-10001062,등록된 부서사용자는 관리자만 삭제할 수 있습니다.
-10001063,부서사용자가 등록되어 있지 않습니다.
　,　
-10002000,거래처 정보가 입력되지 않았습니다.
-10002001,거래처 구분이 지정되니 않았습니다.
-10002002,거래처 등록번호가 입력되지 않았습니다.
-10002003,거래처명이 입력되지 않았습니다.
-10002004,거래처 대표자명이 입력되지 않았습니다.
-10002005,거래처 담당자 이메일 주소가 입력되지 않았습니다.
-10002006,거래처 담당자명이 입력되지 않았습니다.
-10002007,거래처 담당자 이메일 주소가 입력되지 않았습니다.
-10002008,"해당 거래처 정보가 존재하지 않거나, 회원의 거래처가 아닙니다."
-10002009,등록된 공인인증서가 없습니다.
-10002010,거래처 담당자 정보가 입력되지 않았습니다.
-10002011,담당자 추가는 사업자 거래처만 가능합니다.
-10002012,해당 거래처 담당자 정보가 존재하지 않습니다.
-10002013, 거래처 종사업장번호는 4자리 숫자입니다.
-10002014,품목코드가 입력되지 않았습니다.
-10002015,품목명이 입력되지 않았습니다.
-10002016,등록된 홈택스 공인인증서가 없습니다.
-10002020,품목 정보가 입력되지 않았습니다.
