-11000000,Information of e-Tax invoice/e-invoice does not exist.
-11000001,The business is not associated with the applicable e-Tax invoice/e-invoice.
-11000002,Actor is Required to Log.
-11000003,At least one search criteria must be set.
-11000004,This branch is not registered.
-11000005,e-Tax invoice/e-Invoice Information of this invoice ID doesn't exist.
-11000006,Itemkey should not be null or empty.
-11000007,You are not a user related to this e-Tax invoice/e-Invoice.
-11000008,You don't have an authority to search the invoice.
-11000009,You don't have an authority to search the invoice.
-11000010,Set the search scope as within a year.
-11000011,To issue an e-Tax invoice is restricted because of inspection. Please retry when the inspection is done.
,
-11001000,User's information is not matched with the information written on the e-Tax invoice.
-11001001,Date of preparation is not entered.
-11001002,Calculation method of supply values and tax amount is not entered.
-11001003,A issuance type is not entered.
-11001004,Type of the total amount is not entered. Enter one of '영수'(Amount paid) / '청구' (Amount due). 
-11001005,A taxation type is not entered.
-11001007," If the invoicee(buyer) is a foreigner, enter the alien registration number or passport number in remark1."
-11001008," If taxation type is the taxation, e-Tax invoice's tax value can not be '0'."
-11001009,A modification code is incorrect. ' Entered value is not a digit from 1 to 6.
-11001010,A revised e-Tax invoice caused by 'Return' and 'Cancellation of contract' is only registered with minus amount of supply values and tax.
-11001013,Seller's business registration number is not entered.
-11001014,Seller's business registration number is incorrect. ' Length error : it must be 10 digits.
-11001015,Seller's company name is not entered.
-11001016,Name of representative of seller is not entered.
-11001018,Name of the person in charge of seller is incorrect. ' Length Error : it must be below 100 letters.
-11001019,Business registration number of minor place of seller's company is 4 digits.
-11001020,Buyer's business registration number is not entered.
-11001021,Buyer's business registration number is incorrect. ' Length error : it must be 10 digits.
-11001022,Buyer's company name is not entered.
-11001023,Name of representative of buyer is not entered.
-10001025,Name of the person in charge of buyer is incorrect. ' Length Error : it must be below 100 letters.
-11001026,Business registration number of minor place of buyer's company is 4 digits.
-11001034,Tax amount of zero-rate tax invoice should be entered as '0'.
-11001035,Seller invoice ID(invoicermgtkey) is incorrect. ' It isn't entered or the length is over 24 letters.
-11001036,Buyer invoice ID(invoiceemgtkey) is incorrect. ' It isn't entered or the length is over 24 letters.
-11001038,Entered seller invoice ID(invoicermgtkey) have already enrolled.
-11001039,Entered buyer invoice ID(invoiceemgtkey) have already enrolled.
-11001041,Supply values is not entered.
-11001042,Tax amount is not entered.
-11001043,Total amount is not entered.
-11001044,Total amount should be same with the sum of supply values and tax amount.
-11001045,Plus/minus sign of supply values is not same with of tax amount.
-11001046," Sum of cash, check, note and credit should be same with the total amount."
-11001047,Total number of items' list in invoice should be under 99.
-11001048,Serial number of a list is not entered or it is out of the range.
-11001049,Supply values of a list should be under 18 letters.
-11001050,Item's quantity should be below 12 digits (available to two decimal places).
-11001051,Item's unit price should be below 18 digits (available to two decimal places).
-11001052,Item's tax amount should be below 18 digits.
-11001053,Buyer's type is not entered.
-11001054,A revised e-Tax invoice can not be requested by buyer
-11001055,Original e-Tax invoice/e-invoice doesn't exist.
-11001056,Filing of original e-Tax invoice/e-invoice doesn't finish yet.
-11001057,Issuer's business registration number is not same with the original's.
-11001058,Seller's business registration number is same with the buyer's.
-11001061," If buyer type is the business, 10 digits' number should be entered as a business registration number."
-11001062," If buyer type is the individual business, 13 digits' number should be entered as a resident registration number."
