-15000001,전송할 메시지가 입력되지 않았습니다.
-15000002,해당 접수번호의 전송건이 존재하지 않습니다.
-15000003,예약전송건이 아닙니다.
-15000004,예약전송 취소는 예약시간 10분전까지만 가능합니다.
-15000005,이미 취소된 전송건입니다.
-15000006,해당 문자전송 건이 존재하지 않습니다.
-15000007,해당 문자메시지의 회선처리 중입니다. 잠시 후 다시 취소하여 주십시오.
-15000008,해당 회원은 시스템 문자를 보낼수 없습니다.
-15000009,시스템문자로 광고를 보낼 수 없습니다.
-15000010,예약가능한 시간은 3년 이내입니다.
-15000011,해당 요청번호의 전송건이 존재하지 않습니다.
-15000012,이미 접수된 요청번호입니다.
-15000013,"요청번호 형식 오류[영문,숫자,'-','_' 조합, 최대 36자]"
-15000014,1년 이전의 전송내역의 조회는 지원하지 않습니다.
-15000015,문자 예약은 현재일 기준 1년 이내만 가능합니다.　
,
-15001001,광고 전송을 위한 080수신거부 서비스가 설정되어 있지 않습니다.
-15001002,등록할 수신거부번호가 입력되지 않았습니다.
-15001003,해당 번호가 통합 수신거부 목록에 이미 등록되어 있습니다.
-15001004,삭제할 수신거부번호가 입력되지 않았습니다.
-15001005,삭제할 수신거부번호가 존재하지 않습니다.
-15001006,080 수신거부 서비스번호가 설정되어 있지 않습니다.
-15001007,수정할 수신거부번호가 입력되지 않았습니다.
-15001008,수정할 수신거부번호가 존재하지 않습니다.
-15001009,발신번호가 입력되지 않았습니다.
-15001010,이미 등록되어 있는 발신번호 입니다.
-15001011,등록 가능한 발신번호가 모두 등록되었습니다.
-15001012,삭제할 발신번호가 존재하지 않습니다.
-15001013,인증완료된 번호만 대표번호 설정이 가능합니다.
-15001014,등록되지 않은 발신번호입니다.
-15001015,검색기간은 1년 이내로 입력하여 주시기 바랍니다.
　,　
-15002001,Invalid TalkType for ItemCode 
-15002002,수신자 정보가 입력되지 않았습니다. 
-15002003,수신자 정보를 처리하는 과정에 오류가 발생하였습니다. 
-15002004,수신자 정보가 존재하지 않습니다. 
-15002005,해당 카카오톡 전송건이 존재하지 않습니다. 
-15002006,해당 카카오톡의 회선처리 중입니다. 잠시 후 다시 취소하여 주십시오. 
-15002007,친구톡 전송 내용이 입력되지 않았습니다.
-15002008,이미지 링크의 길이는 최대 256자 입니다.
-15002009,친구톡 이미지의 링크는 http(s)://... 가 입력되어야 합니다.
-15002010,이미 접수된 요청번호입니다.
,
-15010001,메시지 타입이 올바르지 않습니다.
-15010002,No Input body
-15010003,전송요청 메시지를 파싱할 수 없습니다.
-15010004,전송 예약시간 형식이 올바르지 않습니다.
-15010005,전송 메시지가 입력되지 않았습니다.
-15010006,1회 최대 전송 건수를 초과하였습니다.
-15010007,MMS 이미지파일이 입력되지 않았습니다.
-15010008,전송가능한 이미지 파일크기는 최대 300Kbyte 입니다.
-15010009,전송할 파일은 .jpg만 가능합니다.
-15010010,MMS 이미지 파일 저장 실패
-15010011,요청한 MMS 이미지파일의 내용이 존재하지 않습니다.
-15010012,친구톡 이미지가 입력되지 않았습니다.
-15010013,친구톡 이미지 파일의 내용이 존재하지 않습니다.
-15010014,친구톡 이미지의 등록 가능한 최대 용량은 500Kbyte 입니다.
-15010015,전송할 친구톡 이미지파일은 .jpg 만 가능합니다.
-15010016,친구톡 이미지 파일 이름이 올바르지 않습니다.
-15010017,친구톡 이미지의 가로 크기가 500px 미만입니다.
-15010018,친구톡 이미지의 높이가 너비의 1.3배 초과입니다.
-15010019,친구톡 이미지의 높이가 너비의 1/2 미만입니다.
-15010020,친구톡 이미지 처리중 오류가 발생하였습니다.
-15010021,친구톡 이미지 파일 저장에 실패하였습니다.
